Ax	Ay	Gx	Gy
2,861724	1,346809	-271,284729	331,542084
2,864102	1,345278	-272,196350	329,160645
2,866157	1,343955	-275,563568	329,817627
2,867933	1,342811	-275,894318	328,892090
2,869468	1,341822	-274,958374	329,449768
2,871879	1,342681	-277,000366	329,252960
2,873963	1,343424	-274,963989	330,168915
2,875764	1,344065	-276,190674	331,910797
2,877321	1,344620	-277,115082	332,465942
2,879684	1,345099	-277,235199	329,959106
2,881727	1,344385	-273,266357	326,435028
2,883492	1,343769	-274,316254	327,733521
2,885018	1,343236	-271,829742	327,226685
2,887388	1,342776	-272,260132	324,480804
2,889437	1,344270	-272,496338	324,958557
2,891208	1,345562	-272,428955	325,371460
2,892738	1,346679	-270,877411	328,036133
2,894060	1,347643	-270,215271	331,153595
2,893468	1,349901	-271,272095	333,983612
2,892956	1,351852	-271,370911	334,121582
2,892514	1,353538	-269,827240	330,032410
2,892131	1,354995	-271,615509	331,521301
2,889930	1,357818	-269,631378	331,179016
2,888028	1,360258	-269,002655	331,290466
2,886384	1,362367	-271,581635	334,373413
2,884963	1,364190	-270,552399	331,471863
2,884681	1,366896	-272,785248	331,950836
2,884437	1,369235	-271,592590	331,007233
2,884226	1,371256	-271,240631	330,327484
2,884044	1,373003	-271,207977	329,468506
2,882449	1,372895	-271,858521	330,762451
2,881071	1,372802	-272,556488	330,794708
2,879880	1,372722	-273,295471	329,600769
2,878850	1,372653	-274,477142	328,161652
2,879138	1,370833	-272,647552	330,176025
2,879386	1,369260	-273,238434	325,807953
2,879601	1,367900	-274,970886	328,141876
2,879786	1,366725	-274,431824	327,036560
2,881019	1,364489	-273,965942	326,760101
2,882084	1,362557	-272,748779	327,742950
2,883005	1,360886	-274,683441	329,406921
2,883801	1,359443	-275,133667	329,487427
2,882715	1,359648	-274,844025	329,828522
2,881777	1,359825	-272,285858	329,308777
2,880967	1,359977	-274,419128	328,723846
2,880266	1,360110	-272,190155	330,118896
2,877942	1,358796	-273,521881	325,079803
2,875933	1,357661	-273,043762	327,919830
2,874197	1,356680	-273,580841	329,695526
2,872696	1,355832	-271,329895	331,230164
2,867016	1,355099	-272,642670	331,063171
2,862107	1,353145	-272,283905	330,783081
2,857864	1,351456	-270,480560	330,405273
2,854197	1,349996	-271,908630	328,313934
2,851026	1,348734	-276,400940	330,036133
2,850050	1,349338	-274,445923	330,709991
2,849207	1,349860	-271,806030	331,563904
2,848478	1,350312	-272,646881	329,451019
2,847848	1,350702	-274,323883	331,290375
2,848844	1,352330	-276,451996	330,300659
2,849705	1,353737	-276,662140	329,038055
2,850449	1,354954	-277,522522	332,155243
2,851092	1,356005	-278,266113	332,405670
2,853132	1,358570	-276,193665	332,079102
2,854896	1,360787	-278,339447	332,611389
2,856420	1,362703	-273,541931	332,256866
2,857737	1,364358	-270,617493	332,086243
2,857189	1,369672	-269,311859	333,567841
2,856715	1,374265	-270,491333	329,961121
2,856305	1,378234	-268,252563	329,423370
2,855951	1,381664	-270,933380	328,551361
2,857347	1,388645	-266,055237	330,784363
2,858553	1,394678	-265,504730	328,777313
2,859595	1,399892	-268,287079	327,585754
2,860496	1,404399	-269,469910	328,863800
2,865260	1,411614	-272,799988	326,167175
2,869377	1,417850	-274,863464	325,465698
2,872936	1,423240	-274,746246	326,488525
2,876011	1,427898	-273,966156	325,200409
2,879570	1,432239	-274,106506	326,123474
2,882647	1,435992	-272,870239	323,527374
2,885306	1,439234	-271,801819	323,998810
2,887604	1,442037	-272,914764	326,035309
2,893275	1,447454	-272,926331	326,980804
2,898177	1,452136	-272,664825	326,304626
2,902413	1,456183	-271,352783	326,399017
2,906074	1,459680	-272,526672	326,752106
2,909734	1,462333	-272,455170	328,143311
2,912898	1,462504	-271,443085	329,481415
2,915631	1,462653	-269,075104	331,588135
2,917994	1,462781	-269,064911	331,508301
2,920516	1,462892	-268,513092	332,118073
2,922695	1,460382	-269,936737	332,916565
2,924578	1,458214	-272,524658	329,398254
2,926206	1,456340	-268,923798	331,652039
2,927613	1,454720	-267,848114	333,328339
2,926538	1,451048	-271,262604	332,333466
2,925609	1,447874	-271,091187	333,102722
2,924806	1,445131	-270,807312	329,830658
2,924112	1,442761	-268,661377	329,717896
2,921261	1,441233	-268,300079	330,977997
2,918797	1,439913	-267,037537	329,623444
2,916668	1,438771	-267,846985	326,959473
2,914828	1,437785	-265,424164	327,643738
2,908410	1,437651	-266,316864	327,013336
2,902864	1,437535	-265,730835	328,233337
2,898071	1,437435	-270,926086	331,731293
2,893928	1,437348	-271,207642	333,939850
2,888208	1,437680	-269,414642	330,554138
2,883265	1,437967	-269,494110	330,614655
2,878993	1,438214	-269,970062	331,617249
2,875300	1,438429	-275,132813	329,904388
2,873438	1,439116	-273,214203	329,510101
2,871829	1,439710	-272,642090	327,947540
2,870438	1,440224	-273,505219	325,511078
2,869236	1,440667	-274,386932	328,156799
2,869354	1,441657	-274,062897	330,986359
2,869456	1,442512	-275,140411	329,902161
2,869544	1,443252	-276,750397	330,729980
2,869620	1,443891	-271,897095	325,200684
